name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Varibaculum	11181	G	3744	5145	8889	0.00252
RUG11864	11177	G	3240	1468	4708	0.00134
Pauljensenia	11175	G	3020	423	3443	0.00098
Gleimia	11164	G	2926	253	3179	0.00090
Flaviflexus	11161	G	2426	515	2941	0.00083
Boudabousia	11157	G	1776	112	1888	0.00054
ZJ293	11183	G	1668	103	1771	0.00050
Arcanobacterium	11153	G	1376	674	2050	0.00058
Actinomyces	11150	G	946	231	1177	0.00033
Mobiluncus	11171	G	546	214	760	0.00022
JAUNVQ01	11168	G	483	6	489	0.00014
Actinotignum	11151	G	321	542	863	0.00024
Scrofimicrobium	11178	G	306	470	776	0.00022
Actinobaculum	11149	G	280	4	284	0.00008
Changpingibacter	11160	G	172	78	250	0.00007
Peptidiphaga	11176	G	171	24	195	0.00006
Bowdeniella	11158	G	133	4	137	0.00004
Georgenia	11162	G	123	64	187	0.00005
Nanchangia	11172	G	122	6	128	0.00004
Trueperella	11179	G	73	3	76	0.00002
Ancrocorticia	11152	G	31	10	41	0.00001
Winkia	11182	G	18	6	24	0.00001
JAQYDG01	11166	G	17	0	17	0.00000
Neoactinobaculum	11173	G	10	0	10	0.00000
Rothia	11435	G	5451	2351	7802	0.00221
Arthrobacter	11406	G	3848	885	4733	0.00134
Yaniella	11439	G	3336	1141	4477	0.00127
Glutamicibacter	11422	G	3306	2588	5894	0.00167
Specibacter	11437	G	2234	678	2912	0.00083
Paeniglutamicibacter	11431	G	1946	2840	4786	0.00136
Psychromicrobium	11433	G	797	228	1025	0.00029
Arthrobacter_D	11409	G	727	338	1065	0.00030
Enteractinococcus	11420	G	617	69	686	0.00019
Nesterenkonia	11430	G	603	416	1019	0.00029
Arthrobacter_B	11407	G	508	295	803	0.00023
Acaricomes	11405	G	453	93	546	0.00015
Kocuria	11427	G	436	272	708	0.00020
Arthrobacter_J	11413	G	252	60	312	0.00009
CALBOC01	11416	G	241	22	263	0.00007
Neomicrococcus	11429	G	214	106	320	0.00009
Auritidibacter	11415	G	186	73	259	0.00007
Arthrobacter_F	11411	G	58	31	89	0.00003
Arthrobacter_M	11414	G	43	7	50	0.00001
JASSZH01	11426	G	41	8	49	0.00001
Arthrobacter_H	11412	G	40	25	65	0.00002
Zhihengliuella	11441	G	20	6	26	0.00001
Galactobacter	11421	G	11	8	19	0.00001
Bifidobacterium	11202	G	6600	4189	10789	0.00306
Ancillula	11201	G	2487	222	2709	0.00077
Galliscardovia	11203	G	1260	96	1356	0.00038
Alloscardovia	11200	G	1046	2573	3619	0.00103
JAITBJ01	11206	G	807	2	809	0.00023
Aeriscardovia	11199	G	604	0	604	0.00017
RGIG7107	11211	G	263	284	547	0.00016
Scardovia	11213	G	100	13	113	0.00003
JAISKS01	11205	G	53	0	53	0.00002
JAITFB01	11207	G	35	0	35	0.00001
RGIG1476	11210	G	17	0	17	0.00000
Brevibacterium	11214	G	2501	2468	4969	0.00141
Spelaeicoccus	11216	G	1213	96	1309	0.00037
Ornithinimicrobium_A	11294	G	685	632	1317	0.00037
UBA4719	11308	G	577	8	585	0.00017
Dermatophilus	11261	G	292	249	541	0.00015
Intrasporangium	11267	G	242	250	492	0.00014
Ornithinicoccus	11291	G	199	187	386	0.00011
Marihabitans	11286	G	184	259	443	0.00013
Austwickia	11254	G	167	19	186	0.00005
Pedococcus	11296	G	140	112	252	0.00007
Phosphoribacter	11297	G	106	109	215	0.00006
Yimella	11309	G	87	141	228	0.00006
Serinicoccus	11303	G	55	52	107	0.00003
Janibacter_A	11277	G	54	188	242	0.00007
Flexivirga	11263	G	44	21	65	0.00002
Demetria	11259	G	23	3	26	0.00001
Terrabacter	11304	G	17	19	36	0.00001
Phycicoccus	11298	G	15	0	15	0.00000
JADJVJ01	11270	G	15	10	25	0.00001
JADJTI01	11269	G	10	8	18	0.00001
WQXJ01	11451	G	1018	3	1021	0.00029
JAIRTF01	11448	G	788	11	799	0.00023
JAIRRT01	11447	G	199	2	201	0.00006
WQYN01	11452	G	183	0	183	0.00005
Jonesia	11229	G	1643	591	2234	0.00063
Cellulosimicrobium	11222	G	141	5	146	0.00004
Xylanimonas	11240	G	96	1	97	0.00003
Timonella	11239	G	94	10	104	0.00003
Actinotalea	11218	G	68	79	147	0.00004
Cellulomonas	11220	G	19	15	34	0.00001
Cellulomonas_A	11221	G	13	12	25	0.00001
Promicromonospora	11235	G	13	3	16	0.00000
Rarobacter	11236	G	12	7	19	0.00001
Dermabacter	11246	G	587	282	869	0.00025
Helcobacillus	11248	G	484	3511	3995	0.00113
Brachybacterium	11245	G	246	97	343	0.00010
Kineococcus	11313	G	892	2	894	0.00025
CADCUY01	11442	G	144	186	330	0.00009
Kineosporia	11319	G	32	13	45	0.00001
JAUPKJ01	11317	G	14	0	14	0.00000
Ruania	11196	G	41	25	66	0.00002
Planktophila	11670	G	50360	6168	56528	0.01604
Nanopelagicus	11667	G	11610	2189	13799	0.00392
AAA044-D11	11660	G	9811	2961	12772	0.00362
PALSA-747	11669	G	9771	3047	12818	0.00364
QYPT01	11671	G	7141	3292	10433	0.00296
MAG-120802	11666	G	3929	442	4371	0.00124
UBA3012	11673	G	2029	1634	3663	0.00104
CAIMZW01	11661	G	1463	534	1997	0.00057
UBA7398	11674	G	1263	55	1318	0.00037
SYAN01	11672	G	1255	55	1310	0.00037
WLQV01	11675	G	1065	34	1099	0.00031
IMCC26077	11664	G	723	71	794	0.00023
GCA-2737595	11663	G	573	41	614	0.00017
ZLKRG08	11676	G	547	241	788	0.00022
OMHY01	11668	G	267	0	267	0.00008
JANXYY01	11665	G	230	0	230	0.00007
CALMJB01	11662	G	158	3	161	0.00005
UBA5976	11791	G	6942	1362	8304	0.00236
ATZT02	11785	G	6050	1322	7372	0.00209
AcAMD-5	11786	G	4376	3872	8248	0.00234
JAFMIT01	11787	G	1522	422	1944	0.00055
UBA4592	11775	G	2503	306	2809	0.00080
UBA11398	11774	G	2302	194	2496	0.00071
UBA6154	11776	G	1458	116	1574	0.00045
S36-B12	11772	G	1454	169	1623	0.00046
GCA-2737125	11767	G	895	31	926	0.00026
Mxb001	11769	G	673	431	1104	0.00031
CAINMH01	11765	G	389	16	405	0.00011
CAIXFB01	11766	G	290	122	412	0.00012
REEB426	11770	G	213	34	247	0.00007
UBA10649	11773	G	186	71	257	0.00007
M55B157	11768	G	182	66	248	0.00007
CAIKZY01	11764	G	133	16	149	0.00004
WLND01	11778	G	57	8	65	0.00002
KLAP162	11783	G	217	97	314	0.00009
UBA10799	11784	G	177	73	250	0.00007
JAHEXM01	11781	G	53	18	71	0.00002
JADKAV01	11780	G	14	13	27	0.00001
WLRQ01	11757	G	275	44	319	0.00009
CAIYMF01	11754	G	23	42	65	0.00002
JAGQTY01	11761	G	61	75	136	0.00004
GCA-2699445	11760	G	57	18	75	0.00002
CAIWTL01	11759	G	36	161	197	0.00006
JAHZKU01	11762	G	36	3	39	0.00001
Streptomyces	11808	G	25934	6661	32595	0.00925
Kitasatospora	11801	G	720	386	1106	0.00031
Wenjunlia	11809	G	86	21	107	0.00003
Actinacidiphila	11798	G	66	22	88	0.00002
Streptacidiphilus	11806	G	46	15	61	0.00002
Streptantibioticus	11807	G	43	21	64	0.00002
Catenulispora	11797	G	12	2	14	0.00000
Brooklawnia	11715	G	1400	1885	3285	0.00093
WQYJ01	11751	G	1081	9	1090	0.00031
Cutibacterium	11720	G	1079	679	1758	0.00050
Propionicimonas	11746	G	1040	182	1222	0.00035
Arachnia	11712	G	649	205	854	0.00024
Propioniciclava	11745	G	520	510	1030	0.00029
JAJTCL01	11731	G	227	47	274	0.00008
CAMIGX01	11718	G	129	9	138	0.00004
Propionibacterium	11743	G	86	243	329	0.00009
JAJYQH01	11732	G	65	34	99	0.00003
CAMQXE01	11719	G	59	7	66	0.00002
WRGV01	11752	G	27	0	27	0.00001
Propioniferax	11747	G	25	7	32	0.00001
Aestuariimicrobium	11711	G	23	31	54	0.00002
JAEZZG01	11729	G	19	0	19	0.00001
Nocardioides	11701	G	2976	448	3424	0.00097
Aeromicrobium	11683	G	1137	497	1634	0.00046
Marmoricola	11698	G	155	158	313	0.00009
Solicola	11706	G	109	27	136	0.00004
WHTJ01	11709	G	40	74	114	0.00003
Mumia	11700	G	25	7	32	0.00001
Kribbella	11682	G	537	100	637	0.00018
Thermobifida	11870	G	642	296	938	0.00027
Spirillospora	11866	G	411	151	562	0.00016
Herbidospora	11826	G	289	56	345	0.00010
Nonomuraea	11850	G	189	59	248	0.00007
Nocardiopsis	11845	G	161	25	186	0.00005
Microbispora	11840	G	148	35	183	0.00005
Sphaerisporangium	11863	G	110	35	145	0.00004
Thermomonospora	11873	G	75	25	100	0.00003
Palsa-504	11852	G	72	8	80	0.00002
JAOPYK01	11834	G	70	24	94	0.00003
JAKNTW01	11832	G	62	21	83	0.00002
Streptosporangium	11869	G	55	32	87	0.00002
Nocardiopsis_C	11848	G	45	1	46	0.00001
RYN-230	11859	G	42	5	47	0.00001
Bog-532	11821	G	41	32	73	0.00002
Acrocarpospora	11811	G	36	9	45	0.00001
Palsa-506	11853	G	15	5	20	0.00001
Murinocardiopsis	11843	G	12	3	15	0.00000
Planomonospora_A	11856	G	12	3	15	0.00000
AcAMD-2	11881	G	1075	133	1208	0.00034
JAHEKZ01	11458	G	649	63	712	0.00020
JALYMU01	11463	G	70	30	100	0.00003
Phytoactinopolyspora	11469	G	33	1	34	0.00001
Haloactinopolyspora	11464	G	12	2	14	0.00000
Motilibacter_A	11471	G	10	6	16	0.00000
Acidothermus	11146	G	10	0	10	0.00000
UBA2093	10879	G	1643	18	1661	0.00047
UBA3006	10880	G	1386	117	1503	0.00043
BACL27	10856	G	1370	23	1393	0.00040
F1-60-MAGs027	10863	G	379	5	384	0.00011
F1-20-MAGs119	10862	G	304	55	359	0.00010
Casp-actino8	10860	G	226	13	239	0.00007
Casp-actino5	10859	G	142	9	151	0.00004
WLMZ01	10884	G	77	6	83	0.00002
CAIYHK01	10857	G	28	0	28	0.00001
UBA668	10881	G	25	3	28	0.00001
Ilumatobacter_A	10865	G	11	3	14	0.00000
MedAcidi-G2B	10929	G	1070	629	1699	0.00048
MedAcidi-G1	10928	G	661	328	989	0.00028
UBA9410	10932	G	278	22	300	0.00009
Acidithrix	10783	G	1114	40	1154	0.00033
Ferrithrix	10785	G	227	0	227	0.00006
SCQM01	10789	G	207	127	334	0.00009
Ferrimicrobium	10784	G	152	4	156	0.00004
JABEUN01	10786	G	28	7	35	0.00001
CAIQEU01	10985	G	522	50	572	0.00016
RAAP-2	11001	G	471	72	543	0.00015
CAIQWC01	10986	G	82	8	90	0.00003
Bog-756	10983	G	64	27	91	0.00003
JAJYWF01	10993	G	25	40	65	0.00002
UBA2110	10976	G	271	26	297	0.00008
UBA6944	10977	G	176	77	253	0.00007
UBA9040	10979	G	126	270	396	0.00011
JAAETH01	10972	G	115	35	150	0.00004
MedAcidi-G3	10974	G	71	4	75	0.00002
UBA7388	10978	G	18	2	20	0.00001
UBA8592	11047	G	762	387	1149	0.00033
JAUIIS01	11046	G	10	0	10	0.00000
IMCC26207	10937	G	675	0	675	0.00019
ATN2	10933	G	13	1	14	0.00000
JAMLGJ01	10947	G	12	2	14	0.00000
JABDJW01	11004	G	361	9	370	0.00011
SHLQ01	11007	G	203	50	253	0.00007
CALLQB01	11003	G	19	0	19	0.00001
JAHDDW01	11017	G	299	61	360	0.00010
JABDIY01	11014	G	89	12	101	0.00003
JAHELU01	11019	G	42	8	50	0.00001
UBA8190	11044	G	437	62	499	0.00014
JABEUL01	10886	G	204	0	204	0.00006
JAJYFT01	10887	G	94	0	94	0.00003
JAJZNL01	10888	G	73	16	89	0.00003
CADCTB01	10773	G	135	140	275	0.00008
VXNF01	10834	G	136	4	140	0.00004
JAJPHD01	10902	G	125	6	131	0.00004
Hopanoidiivorans	10842	G	97	1	98	0.00003
F1-20-MAGs160	11024	G	58	8	66	0.00002
UBA4742	11034	G	15	88	103	0.00003
JANZZE01	11030	G	12	0	12	0.00000
VXYK01	10797	G	33	0	33	0.00001
UBA11606	10796	G	19	0	19	0.00001
Aldehydirespirator	10790	G	18	2	20	0.00001
JAJRXC01	10794	G	10	0	10	0.00000
CAIXPF01	10829	G	85	6	91	0.00003
Poriferisocius	10800	G	74	10	84	0.00002
BPGG01	10799	G	66	1	67	0.00002
JAEKLB01	10824	G	43	30	73	0.00002
JAHWJR01	10825	G	18	3	21	0.00001
JAKAVM01	10914	G	53	19	72	0.00002
JAKAWH01	10915	G	10	5	15	0.00000
JAGQSI01	10851	G	43	31	74	0.00002
JAJZMF01	10958	G	21	23	44	0.00001
JAJZAM01	10957	G	13	41	54	0.00002
JAJZXF01	10909	G	43	61	104	0.00003
JAMDDE01	10922	G	34	2	36	0.00001
JAMCPD01	10916	G	29	5	34	0.00001
JAJZMK01	10809	G	19	6	25	0.00001
JAJYPT01	10905	G	10	0	10	0.00000
RBG-16-68-21	11103	G	3288	26	3314	0.00094
JARDZU01	11138	G	409	6	415	0.00012
JACZUI01	11131	G	128	37	165	0.00005
JANQRA01	11136	G	93	0	93	0.00003
MA-ANB-1	11139	G	12	0	12	0.00000
BMS3BBIN02	11110	G	526	91	617	0.00018
JAAETI01	11114	G	21	5	26	0.00001
SHLN01	11093	G	329	6	335	0.00010
SZUA-232	11096	G	201	846	1047	0.00030
BMS3Bbin01	11106	G	148	0	148	0.00004
Actinomarina	11049	G	2218	220	2438	0.00069
IMCC26256	11054	G	791	8	799	0.00023
JAENVU01	11055	G	13	0	13	0.00000
JAGPDB01	11063	G	720	93	813	0.00023
JAGNEX01	11062	G	12	0	12	0.00000
Cryptobacterium	12011	G	854	95	949	0.00027
Anaerotardibacter	11994	G	775	67	842	0.00024
CAAEEV01	11999	G	270	0	270	0.00008
MGBC163016	12026	G	244	166	410	0.00012
CAIFEG01	12003	G	179	0	179	0.00005
Xiamenia	12043	G	96	8	104	0.00003
Berryella	11998	G	95	70	165	0.00005
Adlercreutzia_A	11993	G	71	25	96	0.00003
UBA9715	12039	G	45	3	48	0.00001
CACXMZ01	12001	G	18	4	22	0.00001
Enterorhabdus	12017	G	15	3	18	0.00001
CASFII01	12010	G	14	0	14	0.00000
RGIG10264	12030	G	14	0	14	0.00000
SIG42	12034	G	13	3	16	0.00000
Raoultibacter	12032	G	12	0	12	0.00000
Slackia	12037	G	12	1	13	0.00000
Collinsella	11987	G	972	1060	2032	0.00058
JAITDU01	12068	G	243	0	243	0.00007
JAITTM01	12072	G	241	0	241	0.00007
JAISGJ01	12063	G	181	0	181	0.00005
JAISGO01	12064	G	25	0	25	0.00001
WRHU01	12080	G	10	0	10	0.00000
Atopobium	11947	G	178	18	196	0.00006
RUG440	11976	G	82	6	88	0.00002
Parolsenella	11974	G	21	4	25	0.00001
Fannyhessea	11957	G	21	28	49	0.00001
Thermophilibacter	11979	G	19	6	25	0.00001
Lancefieldella	11962	G	18	6	24	0.00001
JALCUE01	11960	G	10	0	10	0.00000
WQVN01	12091	G	1216	0	1216	0.00035
WRBW01	12092	G	59	0	59	0.00002
JAGXSC01	11944	G	55	7	62	0.00002
Euzebya	12155	G	558	26	584	0.00017
67-14	12265	G	759	19	778	0.00022
VAYN01	12274	G	14	0	14	0.00000
WLNJ01	12306	G	102	2	104	0.00003
Palsa-513	12297	G	57	72	129	0.00004
JAAYBF01	12308	G	174	41	215	0.00006
AC-37	12307	G	10	3	13	0.00000
JACPNS01	12278	G	37	1	38	0.00001
JANQPH01	12248	G	100	5	105	0.00003
F1-60-MAGs149	12196	G	21	8	29	0.00001
Calidifonticultor	12119	G	460	1584	2044	0.00058
JAMDDL01	12128	G	379	14	393	0.00011
Halolacustris	12121	G	120	1	121	0.00003
JADHVM01	12125	G	74	21	95	0.00003
Oleimmundimicrobium	11900	G	253	2	255	0.00007
JAOADC01	11893	G	47	0	47	0.00001
JACQXZ01	11890	G	23	0	23	0.00001
Aquicultor	11883	G	13	0	13	0.00000
WHSV01	12348	G	175	69	244	0.00007
WHTI01	12349	G	37	48	85	0.00002
JAIVGO01	12330	G	17	0	17	0.00000
CADDYV01	12174	G	69	8	77	0.00002
Rubrobacter_D	12183	G	22	1	23	0.00001
Rubrobacter_F	12185	G	16	0	16	0.00000
JACVJK01	12112	G	61	31	92	0.00003
JAHIPE01	12103	G	24	0	24	0.00001
Faecalimicrobium	14931	G	120602	45929	166531	0.04726
Romboutsia_E	14946	G	45060	11469	56529	0.01604
Terrisporobacter	14949	G	24571	10272	34843	0.00989
Romboutsia	14941	G	22709	36583	59292	0.01683
Romboutsia_D	14945	G	21225	7403	28628	0.00812
Paraclostridium	14936	G	19304	4279	23583	0.00669
Romboutsia_C	14944	G	11401	3705	15106	0.00429
Romboutsia_A	14942	G	6844	386	7230	0.00205
Clostridioides	14928	G	6545	2732	9277	0.00263
Romboutsia_B	14943	G	4199	237	4436	0.00126
Intestinibacter	14932	G	2714	1321	4035	0.00115
JAGHEK01	14933	G	1861	498	2359	0.00067
Tepidibacter_A	14948	G	1378	290	1668	0.00047
Clostridioides_A	14929	G	1371	45	1416	0.00040
Peptacetobacter	14937	G	1224	475	1699	0.00048
Asaccharospora	14927	G	1089	1470	2559	0.00073
Peptostreptococcus	14940	G	1042	632	1674	0.00048
Tepidibacter	14947	G	614	103	717	0.00020
Clostridium_Y	14930	G	285	451	736	0.00021
JAOARY01	14934	G	112	7	119	0.00003
Peptoclostridium	14938	G	42	1	43	0.00001
JASBZE01	14935	G	28	0	28	0.00001
JABZIP01	14819	G	824	47	871	0.00025
IOR16	14814	G	809	55	864	0.00025
Gallibacter	14811	G	657	121	778	0.00022
Lentihominibacter	14847	G	542	119	661	0.00019
RGIG7179	14860	G	373	16	389	0.00011
Alangreenwoodia	14786	G	196	4	200	0.00006
Sinanaerobacter	14875	G	190	303	493	0.00014
MT110	14848	G	124	5	129	0.00004
RUG099	14863	G	109	20	129	0.00004
Emergencia	14806	G	99	71	170	0.00005
JAISGB01	14829	G	99	0	99	0.00003
RUG754	14870	G	76	15	91	0.00003
RUG13409	14866	G	74	1	75	0.00002
RGIG5755	14857	G	73	16	89	0.00003
JAENWH01	14822	G	50	0	50	0.00001
Fimisoma	14810	G	43	22	65	0.00002
S5-A14a	14871	G	43	9	52	0.00001
CAG-238	14794	G	41	13	54	0.00002
RUG14258	14868	G	29	2	31	0.00001
UBA3738	14883	G	28	8	36	0.00001
Hominibacterium	14812	G	25	28	53	0.00002
JAISKC01	14831	G	20	0	20	0.00001
RGIG1899	14853	G	20	1	21	0.00001
Hornefia	14813	G	17	12	29	0.00001
JAAVYD01	14815	G	13	13	26	0.00001
Mogibacterium	14849	G	12	7	19	0.00001
UBA1739	14880	G	11	0	11	0.00000
Mogibacterium_A	14850	G	11	0	11	0.00000
Eubacterium_N	14808	G	10	1	11	0.00000
Eubacterium_B	14807	G	10	5	15	0.00000
WRMW01	14891	G	10	0	10	0.00000
JASUTA01	14780	G	680	427	1107	0.00031
JABXKX01	14775	G	209	55	264	0.00007
Fusibacter_C	14773	G	193	3	196	0.00006
Fusibacter_A	14772	G	126	12	138	0.00004
JAEZUZ01	14776	G	33	4	37	0.00001
DAOURC01	14767	G	12	0	12	0.00000
Fusibacter	14771	G	10	0	10	0.00000
Clostridium_W	14918	G	546	194	740	0.00021
Alkaliphilus_B	14914	G	91	8	99	0.00003
M1-B18	14923	G	76	19	95	0.00003
Alkaliphilus	14912	G	64	6	70	0.00002
JAAYNB01	14920	G	63	18	81	0.00002
Anaerovirgula	14917	G	51	2	53	0.00002
GCA-2733545	14919	G	45	1	46	0.00001
Natronincola_A	14925	G	32	0	32	0.00001
Natronincola	14924	G	23	0	23	0.00001
Serpentinicella	14926	G	20	2	22	0.00001
Alkaliphilus_C	14915	G	18	2	20	0.00001
JAFIFG01	14922	G	11	0	11	0.00000
Anoxynatronum	14963	G	595	0	595	0.00017
Tindallia	14964	G	67	2	69	0.00002
Inediibacterium	14957	G	173	14	187	0.00005
Crassaminicella	14954	G	111	35	146	0.00004
Anaeromicrobium	14952	G	105	1	106	0.00003
JADPRS01	14958	G	51	1	52	0.00001
Geosporobacter	14956	G	21	43	64	0.00002
Anaerosolibacter	14953	G	20	5	25	0.00001
Marinisporobacter	14961	G	12	0	12	0.00000
JAKSBP01	14894	G	177	2	179	0.00005
Maledivibacter	14897	G	81	2	83	0.00002
JAOASB01	14896	G	17	2	19	0.00001
Petromonas	14899	G	14	8	22	0.00001
Caminicella	14893	G	11	0	11	0.00000
Soudan-22	14911	G	210	68	278	0.00008
Acetoanaerobium	14900	G	120	19	139	0.00004
Filifactor	14903	G	11	44	55	0.00002
Isachenkonia	14950	G	12	0	12	0.00000
Clostridium	13550	G	138203	19527	157730	0.04476
Clostridium_F	13571	G	1929	110	2039	0.00058
Clostridium_J	13575	G	1421	150	1571	0.00045
Sarcina	13601	G	1313	351	1664	0.00047
CAMJGD01	13549	G	1244	715	1959	0.00056
Clostridium_H	13573	G	1092	127	1219	0.00035
Inconstantimicrobium	13586	G	1056	277	1333	0.00038
JN-9	13598	G	763	187	950	0.00027
Clostridium_AN	13560	G	684	1349	2033	0.00058
Clostridium_AM	13559	G	649	131	780	0.00022
Clostridium_AR	13562	G	601	27	628	0.00018
Clostridium_AD	13553	G	560	41	601	0.00017
Oceanirhabdus	13599	G	366	27	393	0.00011
Clostridium_B	13568	G	355	43	398	0.00011
Clostridium_T	13579	G	237	19	256	0.00007
Clostridium_I	13574	G	222	18	240	0.00007
Clostridium_AT	13564	G	205	49	254	0.00007
Clostridium_S	13578	G	196	13	209	0.00006
Clostridium_AU	13565	G	187	38	225	0.00006
Dwaynesavagella	13583	G	187	3	190	0.00005
Clostridium_AO	13561	G	183	226	409	0.00012
Clostridium_AF	13555	G	169	63	232	0.00007
Clostridium_Z	13581	G	129	4	133	0.00004
Clostridium_AG	13556	G	126	5	131	0.00004
Clostridium_L	13577	G	126	39	165	0.00005
